State,Top Candy,Pounds
AL,Starburst,109287
AK,Sour Patch Kids,4782
AZ,Hot Tamales,770928
AR,Jolly Ranchers,211337
CA,Reese's Peanut Butter cup,1209299
CO,Hershey's Kisses,119050
CT,Almond Joy,2873
DE,Skittles original,19827
FL,Reese's Peanut Butter cup,578292
GA,Swedish Fish,136319
HI,Hershey's Mini Bars,25827
ID,Starburst,82366
IL,Sour Patch Kids,162272
IN,Starburst,92026
IA,M&M's,64031
KS,Reese's Peanut Butter cup,215638
KY,Reese's Peanut Butter cup,69826
LA,Lemonhead,115789
ME,Sour Patch Kids,58378
MD,Hershey's Kisses,34827
MA,Sour Patch Kids,65683
MI,Starburst,110748
MN,Tootsie Pop,181827
MS,3 Musketeers,92736
MO,Milky Way,44827
MT,Dubble Bubble Gum,28736
NE,Sour Patch Kids,92823
NV,Hershey's Kisses,293248
NH,M&M's,65782
NJ,M&M's,141782
NM,Jolly Ranchers,75447
NY,Sour Patch Kids,138750
NC,Reese's Peanut Butter cup,83928
ND,Hot Tamales,58726
OH,Blow Pops,157827
OK,Skittles original,19232
OR,M&M's,82842
PA,Hershey's Mini Bars,239081
RI,Twix,15627
SC,Butterfinger,112879
SD,Starburst,23670
TN,Tootsie Pop,54829
TX,Starburst,916491
UT,Tootsie Pop,405662
VT,Skittles original,31702
VA,Hot Tamales,155272
DC,M&M's,25772
WA,Tootsie Pop,186570
WV,Hershey's Mini Bars,35930
WI,Butterfinger,103827
WY,Reese's Peanut Butter cup,24746